rank,row_index,sample_index,score,label
1,61953,704,6.968453407287598,0
2,59137,672,6.767262935638428,0
3,36922,419,6.76093053817749,0
4,36834,418,6.72158670425415,0
5,59752,679,6.697021484375,0
6,124906,1419,6.684411525726318,0
7,54177,615,6.65743350982666,0
8,8449,96,6.618707180023193,0
9,104456,1187,6.592816352844238,0
10,124994,1420,6.591817378997803,0
11,32780,372,6.586822509765625,0
12,68596,779,6.559950351715088,0
13,38241,434,6.554774284362793,0
14,60720,690,6.515539646148682,0
15,54089,614,6.496351718902588,0
16,30319,344,6.455197334289551,0
17,55581,631,6.421875953674316,0
18,31638,359,6.409969329833984,0
19,32868,373,6.3800249099731445,0
20,104368,1186,6.374731540679932,0
21,104280,1185,6.367517948150635,0
22,31726,360,6.361204147338867,0
23,60456,687,6.3586812019348145,0
24,60017,682,6.347611427307129,0
25,38329,435,6.31008243560791,0
26,29527,335,6.276237964630127,0
27,43085,489,6.254218101501465,0
28,32692,371,6.236912250518799,0
29,67189,763,6.22489070892334,0
30,9856,112,6.204916954040527,0
31,32877,373,6.162301540374756,0
32,94963,1079,6.148338317871094,0
33,35515,403,6.135162353515625,0
34,2784,31,6.117957592010498,0
35,61249,696,6.1177659034729,0
36,123144,1399,6.113736629486084,0
37,104544,1188,6.1115946769714355,0
38,117932,1340,6.110311031341553,1
39,55933,635,6.109894752502441,0
40,66837,759,6.102169036865234,0
41,125082,1421,6.10202693939209,0
42,30495,346,6.097782135009766,0
43,54265,616,6.09515380859375,0
44,124818,1418,6.0767388343811035,0
45,116965,1329,6.075871467590332,1
46,8537,97,6.074339866638184,0
47,61073,694,6.0614423751831055,0
48,62041,705,6.059362888336182,0
49,54618,620,6.057131767272949,0
50,103928,1181,6.047329902648926,0
51,56637,643,6.0419921875,0
52,64461,732,6.034240245819092,0
53,31373,356,6.033917427062988,0
54,59666,678,6.006312370300293,0
55,8361,95,6.001096248626709,0
56,8273,94,5.999706268310547,0
57,122827,1395,5.991302013397217,0
58,61337,697,5.987236976623535,0
59,12760,145,5.98533821105957,0
60,107801,1225,5.9806623458862305,0
61,2696,30,5.978142738342285,0
62,2431,27,5.969000816345215,0
63,29615,336,5.966464042663574,0
64,35427,402,5.949350833892822,0
65,66133,751,5.9284138679504395,0
66,56991,647,5.927626609802246,0
67,55230,627,5.922328948974609,0
68,68244,775,5.921575546264648,0
69,104104,1183,5.9214630126953125,0
70,56287,639,5.918757438659668,0
71,103664,1178,5.917243003845215,0
72,57993,659,5.913890838623047,0
73,65868,748,5.906651496887207,0
74,32613,370,5.904936790466309,0
75,130592,1484,5.9023823738098145,0
76,116875,1328,5.896964073181152,0
77,33045,375,5.895387649536133,0
78,62217,707,5.888816833496094,0
79,56025,636,5.883166313171387,0
80,53825,611,5.881504058837891,0
81,65430,743,5.879788398742676,0
82,104192,1184,5.879212379455566,0
83,59049,671,5.869956970214844,0
84,2343,26,5.860613822937012,0
85,57255,650,5.8531928062438965,0
86,32965,374,5.839637756347656,0
87,54706,621,5.8346381187438965,0
88,30934,351,5.833780765533447,0
89,10120,115,5.829103946685791,0
90,33493,380,5.824896335601807,0
91,57430,652,5.823973178863525,0
92,30231,343,5.823420524597168,0
93,117844,1339,5.817728042602539,1
94,43261,491,5.8151140213012695,0
95,57343,651,5.7941412925720215,0
96,56988,647,5.792964935302734,0
97,126225,1434,5.789050102233887,0
98,56113,637,5.784594535827637,0
99,8625,98,5.784127712249756,0
100,118020,1341,5.779597282409668,1
